,,Delivery Date,Fuel Type,Tank #,Building,Gallons,Unit Cost,Cost
,,01/27/2016,#2 HEATING OIL,5,Turrets,377.90,1.218400,460.43
,,01/28/2016,LIQUID PROPANE,14,171 Beech Hill Road,14.80,0.877700,12.99
,,01/28/2016,LIQUID PROPANE,35,B&G,48.10,0.877800,42.22
,,01/28/2016,LIQUID PROPANE,9,Pottery Studio,18.80,0.877700,16.50
,,02/01/2016,#2 HEATING OIL,11,Kaelber,400.00,1.310000,524.00
,,02/05/2016,#2 HEATING OIL,24,Dorr NHM,127.70,1.342200,171.40
,,02/05/2016,LIQUID PROPANE,8,Arts & Sci + Gates,700.40,0.907000,635.26
,,02/06/2016,#2 HEATING OIL,17,Blair Tyson,249.30,1.306100,325.61
,,02/06/2016,#2 HEATING OIL,21,Davis Center,157.40,1.306100,205.58
,,02/06/2016,#2 HEATING OIL,3,Seafox,128.30,1.306100,167.57
,,02/06/2016,#2 HEATING OIL,5,Turrets,122.00,1.306100,159.34
,,02/08/2016,#2 HEATING OIL,33,PRF,134.50,1.366100,183.74
,,02/09/2016,#2 HEATING OIL,24,Dorr NHM,95.20,1.290800,122.88
,,02/10/2016,LIQUID PROPANE,35,B&G,69.90,0.928000,64.87
,,02/10/2016,LIQUID PROPANE,37,Turrets Annex,151.40,0.928000,140.50
,,02/10/2016,LIQUID PROPANE,9,Pottery Studio,61.40,0.928000,56.98
,,02/11/2016,#2 HEATING OIL,20,Carriage,121.10,1.204300,145.84
,,02/11/2016,DYED KEROSENE,26,Witchcliff,101.90,1.635100,166.62
,,02/11/2016,DYED KEROSENE,27,Witchcliff Apartments,131.40,1.635100,214.85
,,02/13/2016,#2 HEATING OIL,17,Blair Tyson,310.70,1.221900,379.64
,,02/13/2016,#2 HEATING OIL,24,Dorr NHM,98.80,1.221900,120.72
,,02/13/2016,LIQUID PROPANE,8,Arts & Sci + Gates,869.80,0.937500,815.44
,,02/15/2016,LIQUID PROPANE,35,B&G,38.10,0.937500,35.72
,,02/15/2016,LIQUID PROPANE,9,Pottery Studio,32.80,0.937500,30.75
,,02/16/2016,#2 HEATING OIL,21,Davis Center,260.50,1.275500,332.27
,,02/16/2016,#2 HEATING OIL,24,Dorr NHM,96.90,1.275500,123.60
,,02/16/2016,#2 HEATING OIL,3,Seafox,259.10,1.275500,330.48
,,02/17/2016,#2 HEATING OIL,5,Turrets,250.60,1.331900,333.77
,,02/18/2016,#2 HEATING OIL,11,Kaelber,1000.00,1.237500,1237.50
,,02/18/2016,#2 HEATING OIL,17,Blair Tyson,200.50,1.237500,248.12
,,02/19/2016,#2 HEATING OIL,24,Dorr NHM,46.10,1.297200,59.80
,,02/19/2016,LIQUID PROPANE,31,Davis Village,123.80,0.937500,116.06
,,02/19/2016,LIQUID PROPANE,37,Turrets Annex,129.30,0.937500,121.22
,,02/19/2016,LIQUID PROPANE,8,Arts & Sci + Gates,570.40,0.937500,534.75
,,02/19/2016,LIQUID PROPANE,9,Pottery Studio,24.60,0.937400,23.06
,,02/22/2016,DYED KEROSENE,1,Peach House,154.90,1.718700,266.23
,,02/22/2016,LIQUID PROPANE,31,Davis Village,120.30,0.949200,114.19
,,02/22/2016,#2 HEATING OIL,4,Cottage,145.10,1.289300,187.08
,,02/24/2016,#2 HEATING OIL,24,Dorr NHM,86.30,1.243900,107.35
,,02/24/2016,LIQUID PROPANE,35,B&G,45.30,0.949200,43.00
,,02/24/2016,LIQUID PROPANE,9,Pottery Studio,19.60,0.949000,18.60
,,02/25/2016,#2 HEATING OIL,21,Davis Center,136.40,1.227400,167.42
,,02/25/2016,#2 HEATING OIL,29,Studio 5+6,146.50,1.227400,179.81
,,02/25/2016,#2 HEATING OIL,3,Seafox,151.70,1.227400,186.20
,,02/26/2016,DYED KEROSENE,26,Witchcliff,119.50,1.701600,203.34
,,02/26/2016,LIQUID PROPANE,31,Davis Village,133.20,0.949200,126.43
,,02/26/2016,#2 HEATING OIL,5,Turrets,121.00,1.262000,152.70
,,02/27/2016,#2 HEATING OIL,17,Blair Tyson,243.50,1.271000,309.49
,,02/29/2016,#2 HEATING OIL,11,Kaelber,451.50,1.271000,573.86
,,02/29/2016,LIQUID PROPANE,31,Davis Village,134.00,0.969400,129.90
,,02/29/2016,#2 HEATING OIL,33,PRF,122.80,1.331000,163.45
,,02/29/2016,LIQUID PROPANE,37,Turrets Annex,91.70,0.969400,88.89
,,02/29/2016,LIQUID PROPANE,8,Arts & Sci + Gates,801.30,0.969400,776.78
,,03/02/2016,LIQUID PROPANE,35,B&G,37.00,0.969500,35.87
,,03/02/2016,LIQUID PROPANE,9,Pottery Studio,13.00,0.969200,12.60
,,03/04/2016,#2 HEATING OIL,24,Dorr NHM,167.30,1.284200,214.85
,,03/04/2016,LIQUID PROPANE,31,Davis Village,189.70,0.969400,183.90
,,03/04/2016,LIQUID PROPANE,7,Kaelber,224.80,0.969400,217.92
,,03/04/2016,LIQUID PROPANE,8,Arts & Sci + Gates,433.60,0.969400,420.33
,,03/07/2016,#2 HEATING OIL,3,Seafox,220.70,1.304400,287.88
,,03/07/2016,LIQUID PROPANE,31,Davis Village,144.10,1.004600,144.76
,,03/07/2016,LIQUID PROPANE,35,B&G,28.30,1.004600,28.43
,,03/07/2016,LIQUID PROPANE,9,Pottery Studio,18.40,1.004300,18.48
,,03/08/2016,LIQUID PROPANE,8,Arts & Sci + Gates,231.60,1.004600,232.67
,,03/09/2016,#2 HEATING OIL,24,Dorr NHM,88.90,1.383200,122.97
,,03/11/2016,LIQUID PROPANE,31,Davis Village,115.60,1.004600,116.13
,,03/14/2016,#2 HEATING OIL,17,Blair Tyson,568.70,1.375700,782.36
,,03/14/2016,#2 HEATING OIL,21,Davis Center,290.00,1.375700,398.95
,,03/14/2016,LIQUID PROPANE,31,Davis Village,78.80,1.043100,82.20
,,03/18/2016,LIQUID PROPANE,31,Davis Village,135.80,1.043100,141.65
,,03/21/2016,#2 HEATING OIL,24,Dorr NHM,174.60,1.432900,250.18
,,03/21/2016,LIQUID PROPANE,31,Davis Village,129.80,1.038800,134.84
,,03/21/2016,LIQUID PROPANE,37,Turrets Annex,199.00,1.038800,206.72
